City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Apalachicola,ian,9/28/2022,38.0273,57.93571,12877,65287.07867,76710.34737,17.49698245458346,1
Fort Pierce,ian,9/28/2022,50.039453,100.6605,529,79706.02938,93971.25035,17.897292188512218,1
Lakeland,ian,9/28/2022,51.538176,105.1343,105,92333.43871,109089.3258,18.147149422894056,1
Leesburg,ian,9/29/2022,48.54073,91.48921,1024,89188.23594,102166.5993,14.551653840009791,1
Miami,ian,9/28/2022,41.539233,69.56759,20,187941.9711,204898.395,9.022159233914726,0
Milton,ian,9/28/2022,25.523029,53.46191,704,87939.14417,97063.5762,10.375848111918232,0
Orlando,ian,9/29/2022,63.058211,109.6081,16,137614.4996,156611.106,13.804218636275149,1
Pembroke Pines,ian,9/28/2022,45.028797,74.04139,219,153995.6055,167651.3833,8.867641226294591,0
Pensacola,ian,9/28/2022,33.016644,65.09379,110,66824.81039,75629.89968,13.176377513998366,1
Saint Petersburg,ian,9/28/2022,79.052046,118.5557,84,98235.48434,111763.8544,13.771368005045254,1
Sarasota,ian,9/28/2022,74.063759,118.5557,113,166452.2456,177033.7926,6.357106785707427,0
West Palm Beach,ian,9/28/2022,53.551386,85.0022,158,131859.0371,143536.4257,8.855963805608594,0
Winter Haven,ian,9/28/2022,40.04051,71.5808,395,94132.64063,110238.5131,17.109763799473264,1
Daytona Beach,ian,9/29/2022,74.063759,138.6878,744,149756.0306,161776.3328,8.026589748566696,0
Jacksonville,ian,9/29/2022,74.555877,95.96301,12,170976.1491,187886.4279,9.890431436790385,1
Jacksonville Beach,ian,9/29/2022,79.566533,109.6081,3158,370849.4437,390533.1397,5.307732378836516,0
Orlando,ian,9/28/2022,46.035402,95.96301,16,230950.8623,248445.3983,7.575003542214525,0
Punta Gorda,ian,9/28/2022,91.064199,194.6103,1014,240825.2691,253915.432,5.43554376536976,0
Tampa,ian,9/28/2022,39.526023,82.54161,50,222385.5776,235985.9497,6.115671819537999,0
Vero Beach,ian,9/29/2022,57.04095,107.59489,350,214829.5866,228834.3418,6.519006726050268,0
Brooksville,ian,9/28/2022,42.031351,74.04139,1410,273590.5313,287680.357,5.149968324214459,0
Cross City,ian,9/29/2022,40.532628,65.09379,11954,130756.8966,140391.3734,7.368236055244538,1
Fort Myers,ian,9/28/2022,73.549272,174.70189,106,367599.0892,374571.4371,1.8967261086456448,0
Gainesville,ian,9/29/2022,42.523469,69.56759,132,297086.5651,309226.1863,4.086223554375059,0
Kendall West,ian,9/28/2022,39.033905,65.09379,1644,348232.7086,368569.8331,5.840096004123599,0
Opa-locka,ian,9/28/2022,53.551386,74.04139,4119,239518.7418,264040.4392,10.237903395666564,1
Panama City,ian,9/28/2022,33.531131,56.14619,916,247267.9179,260155.7561,5.212094763224436,0
